time_min,gRNA1_replicate1_20fM,gRNA2_replicate1_20fM,gRNA3_replicate1_20fM,gRNA4_replicate1_20fM,gRNA5_replicate1_20fM,gRNA6_replicate1_20fM,gRNA1_replicate1_2fM,gRNA2_replicate1_2fM,gRNA3_replicate1_2fM,gRNA4_replicate1_2fM,gRNA5_replicate1_2fM,gRNA6_replicate1_2fM,gRNA1_replicate1_0fM,gRNA2_replicate1_0fM,gRNA3_replicate1_0fM,gRNA4_replicate1_0fM,gRNA5_replicate1_0fM,gRNA6_replicate1_0fM,gRNA1_replicate2_20fM,gRNA2_replicate2_20fM,gRNA3_replicate2_20fM,gRNA4_replicate2_20fM,gRNA5_replicate2_20fM,gRNA6_replicate2_20fM,gRNA1_replicate2_2fM,gRNA2_replicate2_2fM,gRNA3_replicate2_2fM,gRNA4_replicate2_2fM,gRNA5_replicate2_2fM,gRNA6_replicate2_2fM,gRNA1_replicate2_0fM,gRNA2_replicate2_0fM,gRNA3_replicate2_0fM,gRNA4_replicate2_0fM,gRNA5_replicate2_0fM,gRNA6_replicate2_0fM,gRNA1_replicate3_20fM,gRNA2_replicate3_20fM,gRNA3_replicate3_20fM,gRNA4_replicate3_20fM,gRNA5_replicate3_20fM,gRNA6_replicate3_20fM,gRNA1_replicate3_2fM,gRNA2_replicate3_2fM,gRNA3_replicate3_2fM,gRNA4_replicate3_2fM,gRNA5_replicate3_2fM,gRNA6_replicate3_2fM,gRNA1_replicate3_0fM,gRNA2_replicate3_0fM,gRNA3_replicate3_0fM,gRNA4_replicate3_0fM,gRNA5_replicate3_0fM,gRNA6_replicate3_0fM
0,0.087097601,0.336008881,0.06767142,0.068098369,0.068525318,0.080052942,0.072794808,0.176329946,0.065750149,0.068311844,0.065963624,0.075356502,0.090299718,0.513406199,0.06340193,0.109512424,0.068098369,0.073862181,0.080266416,0.34732303,0.065536675,0.065750149,0.067244471,0.077918197,0.075569977,0.176116472,0.0653232,0.066604047,0.063615404,0.074502604,0.084535906,0.527068568,0.059559389,0.09371531,0.070233114,0.074502604,0.078772095,0.326829477,0.067884895,0.067457946,0.068952267,0.084535906,0.074929553,0.177183844,0.064469302,0.066604047,0.065536675,0.076850824,0.084962855,0.517035266,0.063828879,0.000853898,0.069592691,0.072154385
3,0.089232346,0.426308599,0.06767142,0.068525318,0.068525318,0.082401161,0.074502604,0.24656306,0.066390573,0.068311844,0.067030996,0.077277773,0.092434463,0.607334984,0.064255828,0.109939373,0.07001964,0.075996926,0.083682008,0.437195799,0.066390573,0.066390573,0.068098369,0.081974212,0.077918197,0.24656306,0.065963624,0.068738793,0.064255828,0.076423875,0.086670652,0.619076082,0.060626761,0.094355734,0.070873538,0.077918197,0.080693365,0.414780975,0.068525318,0.068311844,0.069165742,0.086457177,0.077064299,0.251899923,0.0653232,0.066817522,0.066604047,0.078131671,0.088378448,0.612031423,0.063615404,0.000853898,0.071087012,0.074929553
6,0.09179404,0.524293399,0.068525318,0.069592691,0.068952267,0.086030228,0.077704722,0.333020237,0.066604047,0.07001964,0.067884895,0.080479891,0.094996157,0.704038938,0.064682777,0.111647169,0.07001964,0.077918197,0.085603279,0.541798309,0.066177098,0.067244471,0.068738793,0.084535906,0.080052942,0.330885492,0.064682777,0.068525318,0.064682777,0.079625993,0.089659295,0.720476475,0.061267185,0.09606353,0.07194091,0.080052942,0.083468534,0.512552301,0.068738793,0.068738793,0.070446589,0.089872769,0.080266416,0.335581932,0.064896251,0.06767142,0.067030996,0.081760738,0.090513193,0.715353087,0.064682777,0.000853898,0.071300487,0.078131671
9,0.092861412,0.622918624,0.067884895,0.070446589,0.07001964,0.090940142,0.080266416,0.423960379,0.067030996,0.07001964,0.068098369,0.08282811,0.096917428,0.793484758,0.064896251,0.112287593,0.071513961,0.083682008,0.088378448,0.638288788,0.067030996,0.066817522,0.068525318,0.088378448,0.08282811,0.420544787,0.064469302,0.069379216,0.065536675,0.082614636,0.092007514,0.799462044,0.061267185,0.096490479,0.073862181,0.085389804,0.086457177,0.604346341,0.068952267,0.07001964,0.071513961,0.095209632,0.082614636,0.419477414,0.064255828,0.06767142,0.06767142,0.08517633,0.092861412,0.81440526,0.064042353,0.000853898,0.07194091,0.083255059
12,0.09606353,0.71172402,0.068311844,0.070660063,0.070660063,0.094142259,0.081333789,0.502945948,0.066177098,0.070446589,0.068525318,0.088164973,0.099906071,0.873324225,0.064682777,0.113781914,0.07194091,0.092220989,0.090726667,0.728588507,0.066390573,0.066817522,0.07001964,0.092647938,0.084749381,0.503586372,0.0653232,0.068952267,0.064896251,0.086243703,0.094142259,0.883571002,0.061694134,0.097130903,0.074075655,0.094355734,0.088591922,0.687387926,0.07001964,0.070873538,0.07194091,0.100546495,0.084535906,0.50444027,0.0653232,0.067884895,0.068098369,0.089872769,0.095209632,0.890188711,0.064469302,0.000853898,0.073221757,0.09179404
15,0.097130903,0.792203911,0.068525318,0.071513961,0.071513961,0.103108189,0.083682008,0.575313808,0.066604047,0.070660063,0.069165742,0.094355734,0.101613867,0.928614123,0.0653232,0.113781914,0.073221757,0.105242934,0.091367091,0.808427974,0.067244471,0.068952267,0.07194091,0.102254291,0.086670652,0.579796772,0.065750149,0.069379216,0.067030996,0.092647938,0.09606353,0.949961575,0.061694134,0.097557852,0.074929553,0.107164205,0.088591922,0.767013919,0.068098369,0.070873538,0.072154385,0.109725899,0.086457177,0.577235078,0.064682777,0.069379216,0.068098369,0.09606353,0.097344377,0.954871488,0.064255828,0.000853898,0.07428913,0.103321663
18,0.099479122,0.86030228,0.06767142,0.070873538,0.073008283,0.114635812,0.085389804,0.638715737,0.066390573,0.072154385,0.070660063,0.103108189,0.103962087,0.980061481,0.065750149,0.114849287,0.074716079,0.121466997,0.09371531,0.883357527,0.066817522,0.068738793,0.070873538,0.115062762,0.088378448,0.652164632,0.066390573,0.068952267,0.067244471,0.102254291,0.098625224,0.996712493,0.062121083,0.097344377,0.075996926,0.12445564,0.091580565,0.832337119,0.069165742,0.071087012,0.074075655,0.120399624,0.088591922,0.651524208,0.064469302,0.069379216,0.070873538,0.104815985,0.098625224,1.009520963,0.064255828,0.000213475,0.075996926,0.118051405
21,0.101400393,0.927333276,0.068311844,0.071513961,0.073648706,0.127230809,0.087097601,0.699342499,0.066177098,0.071513961,0.070873538,0.11356844,0.104815985,1.020408163,0.066177098,0.114208863,0.074716079,0.135556315,0.094355734,0.947613355,0.067884895,0.068525318,0.072581334,0.128938605,0.08944582,0.715566561,0.065536675,0.069806165,0.068311844,0.114208863,0.098625224,1.043676885,0.062548032,0.097557852,0.077491248,0.140893177,0.093288361,0.894031253,0.07001964,0.07194091,0.073435232,0.135769789,0.088805397,0.711297071,0.064896251,0.07001964,0.070660063,0.116557083,0.099906071,1.055204509,0.065109726,0.000426949,0.076850824,0.131713773
24,0.102467765,0.977499787,0.068738793,0.071087012,0.074075655,0.144522244,0.088378448,0.76423875,0.067457946,0.071087012,0.072154385,0.125949962,0.106737256,1.066732132,0.066604047,0.116770558,0.074716079,0.15284775,0.09606353,1.0041841,0.067030996,0.069165742,0.073221757,0.144095295,0.092007514,0.77512595,0.065963624,0.070446589,0.068738793,0.126376911,0.100759969,1.079327128,0.061907608,0.098625224,0.078772095,0.156476817,0.094996157,0.942489967,0.069592691,0.071087012,0.074929553,0.152420801,0.09179404,0.777047221,0.065536675,0.07001964,0.071513961,0.128511656,0.101400393,1.097472462,0.064255828,0.000853898,0.077918197,0.146443515
27,0.104175561,1.036205277,0.069592691,0.072581334,0.07663735,0.158184613,0.089872769,0.814832209,0.067244471,0.07194091,0.074502604,0.139825805,0.108231577,1.096405089,0.066817522,0.116557083,0.077918197,0.166723593,0.097557852,1.056485356,0.068311844,0.069806165,0.074929553,0.160532832,0.092647938,0.831056272,0.065963624,0.070446589,0.070660063,0.138758432,0.101827342,1.111775254,0.063828879,0.099906071,0.080479891,0.169498762,0.094355734,0.995218171,0.069806165,0.071513961,0.0762104,0.168431389,0.091580565,0.822517291,0.066390573,0.07001964,0.072794808,0.138331483,0.103321663,1.132268807,0.065963624,0.000853898,0.079199044,0.160532832
